iter	MultiClass
0	1.818942662
1	1.71111308
2	1.626332051
3	1.558667287
4	1.500299828
5	1.451210397
6	1.408528242
7	1.370547653
8	1.336489696
9	1.307079702
10	1.281109581
11	1.255965632
12	1.235530933
13	1.215396218
14	1.197968831
15	1.181958141
16	1.16701931
17	1.154468787
18	1.142536726
19	1.130846643
20	1.119603684
21	1.109539182
22	1.100732071
23	1.093092889
24	1.084959754
25	1.077618778
26	1.071477507
27	1.064834673
28	1.058845743
29	1.054238578
30	1.048984469
31	1.043650348
32	1.038284125
33	1.032778099
34	1.027796449
35	1.023428078
36	1.020136567
37	1.016307093
38	1.012011984
39	1.007123454
40	1.00341515
41	0.9999593494
42	0.9960784702
43	0.9930851461
44	0.9909249809
45	0.9878730076
46	0.985037773
47	0.9829519272
48	0.9797851082
49	0.9775270974
50	0.9749328798
51	0.9717017806
52	0.9687204492
53	0.9665480709
54	0.9646912886
55	0.9623134388
56	0.9599701393
57	0.9572165978
58	0.9553889304
59	0.9536121654
60	0.9518445465
61	0.9497253294
62	0.9476249502
63	0.9463531035
64	0.9435229316
65	0.9421991892
66	0.9408767981
67	0.9393184947
68	0.9370039748
69	0.9345602782
70	0.9337846601
71	0.9316330611
72	0.9300454482
73	0.9293829813
74	0.9274225079
75	0.9259155254
76	0.9244013862
77	0.922943578
78	0.9216680398
79	0.9200318561
80	0.9183330386
81	0.9165649134
82	0.9152349132
83	0.9141638675
84	0.9131177889
85	0.911202363
86	0.9100717946
87	0.9083949515
88	0.9065487915
89	0.9046549441
90	0.9028523375
91	0.9021273061
92	0.9013098911
93	0.8992492326
94	0.8977427098
95	0.8959244222
96	0.8946530268
97	0.8930867819
98	0.8914573823
99	0.8899424219
100	0.888876739
101	0.8880424754
102	0.8858567846
103	0.8844914493
104	0.8830683981
105	0.881319396
106	0.8795534562
107	0.8778817414
108	0.8769191692
109	0.8752114401
110	0.8743222934
111	0.8728919782
112	0.8712934348
113	0.8695710865
114	0.86824632
115	0.8669093526
116	0.8647356896
117	0.8637948941
118	0.861931374
119	0.8608405104
120	0.8597446386
121	0.8577909904
122	0.856902342
123	0.8556231661
124	0.8547376238
125	0.8529202298
126	0.8511485607
127	0.8501865482
128	0.8487337618
129	0.8476304522
130	0.8463708778
131	0.8457047176
132	0.8447378237
133	0.8435368478
134	0.8426642876
135	0.8412452796
136	0.839907149
137	0.8381252409
138	0.8362724042
139	0.8353600192
140	0.834407996
141	0.8333741427
142	0.8319524188
143	0.8307771573
144	0.8296171983
145	0.8279408735
146	0.8266325918
147	0.8250885531
148	0.8236603739
149	0.8224385042
150	0.8214450714
151	0.8194912001
152	0.8185632783
153	0.8174295161
154	0.8161445081
155	0.8148585455
156	0.813814329
157	0.8124431044
158	0.8113258213
159	0.8107700293
160	0.8097007559
161	0.8087720994
162	0.8080180798
163	0.8071619079
164	0.8066085813
165	0.8058304474
166	0.8052743267
167	0.8046449356
168	0.8034752583
169	0.8021667758
170	0.8009993813
171	0.80011102
172	0.7989038505
173	0.7978465775
174	0.7966621604
175	0.794983825
176	0.7939247103
177	0.7930951984
178	0.7921768601
179	0.7911607687
180	0.7904714498
181	0.7898919579
182	0.7889672586
183	0.788092042
184	0.7869188844
185	0.7859316819
186	0.7848544297
187	0.7839289935
188	0.7831150003
189	0.7818871248
190	0.7809953349
191	0.7793433778
192	0.778411013
193	0.7776603206
194	0.776341062
195	0.7754271693
196	0.7743482545
197	0.7734561926
198	0.7726437109
199	0.7723901592
200	0.7718290057
201	0.7705645584
202	0.7691969543
203	0.7674240755
204	0.7667714004
205	0.7653453385
206	0.7649400664
207	0.7644780109
208	0.7636301322
209	0.7628449204
210	0.7617269693
211	0.7606375235
212	0.7600863161
213	0.7591423725
214	0.7585855931
215	0.758179731
216	0.7567830619
217	0.7558412374
218	0.7553597033
219	0.7542181345
220	0.753427149
221	0.7517023301
222	0.7513098376
223	0.7508864696
224	0.7492205398
225	0.7476980462
226	0.7464232204
227	0.7456465102
228	0.74448126
229	0.7435690939
230	0.7425054678
231	0.7404623641
232	0.7394802228
233	0.7380338874
234	0.7368132636
235	0.7359174496
236	0.7351791417
237	0.7339402448
238	0.7327231557
239	0.732113929
240	0.731574483
241	0.7305223976
242	0.7296605494
243	0.7289579582
244	0.7276907326
245	0.7270508746
246	0.7265232667
247	0.7256074432
248	0.7243440162
249	0.7228676669
250	0.7220944314
251	0.7217873937
252	0.7206231478
253	0.7196719578
254	0.7192269868
255	0.7181034073
256	0.7175688254
257	0.7164883065
258	0.715361639
259	0.7145739421
260	0.7138621758
261	0.7128084784
262	0.7117990467
263	0.7105477589
264	0.7103050249
265	0.7095411157
266	0.7086576585
267	0.7078443465
268	0.7069814823
269	0.7061698555
270	0.7054705124
271	0.7044103292
272	0.7031777879
273	0.7025734293
274	0.7021237741
275	0.7011744526
276	0.7002239385
277	0.6994722192
278	0.6984642493
279	0.6979323644
280	0.6972726433
281	0.6962370357
282	0.6948169442
283	0.6941173988
284	0.6936892935
285	0.693035421
286	0.6921668068
287	0.6910819511
288	0.6904655409
289	0.6900768738
290	0.6892573398
291	0.6882650867
292	0.6875364097
293	0.6867149232
294	0.6860571003
295	0.6853736921
296	0.6843991722
297	0.6835582978
298	0.6825731502
299	0.6819673181
300	0.6812933956
301	0.6806582884
302	0.680184671
303	0.6790675872
304	0.6777756393
305	0.6763682776
306	0.6751271909
307	0.6739291338
308	0.6735964325
309	0.6727702366
310	0.671996441
311	0.6716750839
312	0.6709180994
313	0.6700943671
314	0.6697559789
315	0.6683017357
316	0.6676516296
317	0.6665690533
318	0.6656460742
319	0.6650467669
320	0.6641710139
321	0.6626995672
322	0.6620950031
323	0.6616878431
324	0.660908379
325	0.6605171013
326	0.6598209358
327	0.659084026
328	0.6583110869
329	0.656972829
330	0.6561630786
331	0.6555681057
332	0.6548119561
333	0.653976617
334	0.6529875868
335	0.6524365633
336	0.6521796343
337	0.6516985652
338	0.6510563278
339	0.6502824936
340	0.6493876728
341	0.6490526091
342	0.6482414288
343	0.6473568869
344	0.6466121213
345	0.6458870404
346	0.6446782462
347	0.6438897363
348	0.6430706991
349	0.6422294811
350	0.6417549574
351	0.6407476806
352	0.6402148395
353	0.6397017702
354	0.6386373764
355	0.637480618
356	0.6367659498
357	0.6364353882
358	0.6359112454
359	0.6347825163
360	0.6339820178
361	0.6333388165
362	0.6319355103
363	0.6305637833
364	0.6300686529
365	0.6289728761
366	0.6284197212
367	0.6275833076
368	0.6269954636
369	0.6262909197
370	0.625544228
371	0.6245574045
372	0.6241038425
373	0.6232431471
374	0.6226627993
375	0.6220161151
376	0.6206425748
377	0.6200707874
378	0.6195787746
379	0.6190031179
380	0.6187742988
381	0.6177853259
382	0.6170154212
383	0.6163696538
384	0.6159173676
385	0.6154663428
386	0.6143962445
387	0.6136449148
388	0.6131665079
389	0.6123144514
390	0.6115042173
391	0.6110610567
392	0.6103015181
393	0.6097084373
394	0.6092100444
395	0.6086051316
396	0.6078044326
397	0.6075137774
398	0.606363449
399	0.6054866923
400	0.6049848065
401	0.6039808504
402	0.6034225764
403	0.6028045661
404	0.60179359
405	0.6013421385
406	0.6005989736
407	0.6000802975
408	0.5993289882
409	0.5988112288
410	0.5984408256
411	0.597646867
412	0.5962824557
413	0.5957395537
414	0.5950396366
415	0.5944021635
416	0.5935656659
417	0.5928369873
418	0.5921300635
419	0.5915968075
420	0.5907211285
421	0.5900489947
422	0.5893758795
423	0.5887193605
424	0.5876811853
425	0.5873699836
426	0.5867003716
427	0.5860013901
428	0.5856718739
429	0.5851577652
430	0.5842891533
431	0.5837900501
432	0.5830428014
433	0.5825137663
434	0.5816638626
435	0.5809691836
436	0.5804632217
437	0.5799057392
438	0.5793321814
439	0.57857922
440	0.5780961707
441	0.5772044347
442	0.576769878
443	0.5763861844
444	0.5758502804
445	0.575680963
446	0.5751852438
447	0.5748371201
448	0.5744498377
449	0.573357946
450	0.5730291761
451	0.5723041805
452	0.5716255293
453	0.5712443332
454	0.570476634
455	0.5697710113
456	0.5692165289
457	0.5684005551
458	0.5677704689
459	0.5672697799
460	0.566677529
461	0.5658362179
462	0.5653038831
463	0.5646201943
464	0.5639773961
465	0.5634045831
466	0.5629144736
467	0.5624124685
468	0.561655595
469	0.5610601624
470	0.560409445
471	0.5599347501
472	0.5592307533
473	0.5584950036
474	0.5579665015
475	0.5571477379
476	0.5567558183
477	0.5558899773
478	0.5551411533
479	0.5545266917
480	0.5541407534
481	0.5537414772
482	0.5534860568
483	0.5528962631
484	0.5523643206
485	0.551516254
486	0.5509025715
487	0.550371908
488	0.5500426216
489	0.5497959766
490	0.5493402718
491	0.548782023
492	0.5476881916
493	0.5470699669
494	0.5460266497
495	0.5457607114
496	0.5451930731
497	0.5443949444
498	0.5441897976
499	0.5434589785
500	0.5429969616
501	0.5421291173
502	0.54150873
503	0.5409517718
504	0.5402617956
505	0.5399837439
506	0.5395021737
507	0.5392105624
508	0.538293797
509	0.537957952
510	0.5371153292
511	0.5367519288
512	0.5363557918
513	0.5357915942
514	0.5344002697
515	0.5334924003
516	0.5325482047
517	0.5316951906
518	0.5314990316
519	0.5308087398
520	0.530184482
521	0.52973748
522	0.5292054358
523	0.5283027097
524	0.527491544
525	0.5268101111
526	0.5261984565
527	0.5255338733
528	0.5245136456
529	0.5238480685
530	0.5234858449
531	0.5231847139
532	0.5226175185
533	0.5219608329
534	0.5218149606
535	0.5212234168
536	0.5206590564
537	0.5198610561
538	0.5192527036
539	0.5188228817
540	0.5180234318
541	0.5175500014
542	0.5171312816
543	0.5165052282
544	0.5163261424
545	0.5154140716
546	0.515266166
547	0.5148431376
548	0.5142666191
549	0.5137689732
550	0.5134129236
551	0.5128091053
552	0.5122305309
553	0.511807572
554	0.5115020122
555	0.5110621779
556	0.5107180595
557	0.5103048713
558	0.5097732789
559	0.5094390844
560	0.5090132898
561	0.5086560308
562	0.5077803327
563	0.5072588881
564	0.5065164489
565	0.5058426748
566	0.5054796784
567	0.505131758
568	0.5044831768
569	0.5042866705
570	0.5040039683
571	0.5033873287
572	0.5027136844
573	0.5022967566
574	0.5019712221
575	0.5016283901
576	0.5010431249
577	0.5002588872
578	0.499361645
579	0.4988966192
580	0.4984591266
581	0.4977565814
582	0.4973229393
583	0.4966546049
584	0.4962732642
585	0.4957674006
586	0.4951453243
587	0.4946342989
588	0.4939848559
589	0.4937185649
590	0.4933598533
591	0.4925901604
592	0.4920630012
593	0.4913582872
594	0.4908459043
595	0.4903243885
596	0.4898259615
597	0.4894618483
598	0.4892646731
599	0.488945958
600	0.4879364315
601	0.4874535673
602	0.486947481
603	0.4865729619
604	0.4863687954
605	0.4862014763
606	0.4859097475
607	0.4854871623
608	0.4851571564
609	0.4847785467
610	0.4843132999
611	0.4837671721
612	0.4834744062
613	0.4832009699
614	0.4827398736
615	0.4824790993
616	0.4819989974
617	0.4811480008
618	0.4807117073
619	0.4801613627
620	0.4794799866
621	0.4789549032
622	0.4780736201
623	0.4779543923
624	0.4774508552
625	0.4771298228
626	0.476637405
627	0.4763905252
628	0.4756461799
629	0.4753102641
630	0.4747738281
631	0.4742558342
632	0.4735249798
633	0.4727178551
634	0.4720687319
635	0.4718847866
636	0.4712262537
637	0.4709026053
638	0.4702252679
639	0.4695549103
640	0.469364291
641	0.4688689673
642	0.4685499175
643	0.4682574531
644	0.4680136229
645	0.4677741617
646	0.4673317399
647	0.4669414866
648	0.4665258301
649	0.4663331283
650	0.4657741881
651	0.465189312
652	0.4648294548
653	0.4641668072
654	0.463752197
655	0.4631364999
656	0.4628880073
657	0.4624835474
658	0.4621875702
659	0.4619745687
660	0.4612282776
661	0.460775052
662	0.4603940818
663	0.4599167469
664	0.4594409027
665	0.4589586888
666	0.4585146191
667	0.4581287548
668	0.4576688694
669	0.4571836597
670	0.4569423065
671	0.4564558543
672	0.4556823355
673	0.4552247617
674	0.4547390878
675	0.4542825133
676	0.453736449
677	0.4531281376
678	0.4527460598
679	0.4521504322
680	0.4516679085
681	0.451495761
682	0.4510780781
683	0.4506831057
684	0.4501733702
685	0.4497807568
686	0.449337454
687	0.4486679409
688	0.4483692093
689	0.4480366276
690	0.447401716
691	0.446878185
692	0.4466903574
693	0.4463531447
694	0.4457679108
695	0.4454857966
696	0.4451914546
697	0.4448548459
698	0.4443515253
699	0.4440673847
700	0.4440147842
701	0.443412842
702	0.4428433673
703	0.4423132033
704	0.4421423485
705	0.4418667239
706	0.4416699114
707	0.4414640314
708	0.4409453638
709	0.4404551489
710	0.4400844213
711	0.4396998148
712	0.4391610713
713	0.4389907784
714	0.4385768419
715	0.4382494804
716	0.4379319016
717	0.4376866875
718	0.4372818129
719	0.4365353056
720	0.4361779469
721	0.4358394335
722	0.4352625606
723	0.4349192885
724	0.434571432
725	0.4340040307
726	0.4333502203
727	0.4329085491
728	0.4326185536
729	0.4323040035
730	0.4316429402
731	0.4313514522
732	0.4310114719
733	0.4307112229
734	0.4303770292
735	0.429884828
736	0.4292498221
737	0.428617786
738	0.4284148407
739	0.4278296673
740	0.427589781
741	0.4272084992
742	0.4265911978
743	0.4263703854
744	0.4259389689
745	0.4254838648
746	0.4252696114
747	0.4247346461
748	0.4243511059
749	0.4240335082
750	0.4235180635
751	0.4229585394
752	0.4224596339
753	0.4221693241
754	0.421985818
755	0.421688245
756	0.4209994674
757	0.4205633157
