iter	MultiClass
0	1.375527871
1	0.9997593035
2	0.8119757142
3	0.6805260477
4	0.6091789302
5	0.5449380177
6	0.491935593
7	0.4514756435
8	0.4105577855
9	0.3908199904
10	0.3665985023
11	0.3413430576
12	0.3194735794
13	0.2955855996
14	0.28244043
15	0.2720199643
16	0.2643882955
17	0.2501521234
18	0.2408368645
19	0.2333963339
