iter	Logloss
0	0.6795455279
1	0.6658879515
2	0.6552244411
3	0.6432416588
4	0.6302232103
5	0.6185602771
6	0.6062863541
7	0.5935256334
8	0.5827091936
9	0.5725109582
10	0.56114681
11	0.5508086296
12	0.5393861454
13	0.5310146575
14	0.5217567266
15	0.5128154731
16	0.5032049725
17	0.4944208243
18	0.4862941247
19	0.4766989669
20	0.4680123566
21	0.4597990458
22	0.4525311027
23	0.4440053828
24	0.4369109173
25	0.4300579325
26	0.4230356173
27	0.4162565079
28	0.4091804224
29	0.402932863
30	0.3965918112
31	0.3908785334
32	0.3849713834
33	0.3791853428
34	0.373918383
35	0.3684319146
36	0.363408159
37	0.3583828153
38	0.352725943
39	0.3481340459
40	0.3434791192
41	0.3378645345
42	0.332936281
43	0.3284532945
44	0.3238427386
45	0.3205279925
46	0.3161894831
47	0.3120910634
48	0.3080474807
49	0.3049435246
50	0.3011995371
51	0.2970946001
52	0.2937201098
53	0.2903292695
54	0.2867671452
55	0.282857187
56	0.2792530333
57	0.2759724356
58	0.2729652454
59	0.2693611455
60	0.2667372204
61	0.2634424189
62	0.2606120878
63	0.2589148754
64	0.2561061436
65	0.2535390231
66	0.2505267629
67	0.2475087442
68	0.2453414168
69	0.2427812247
70	0.2413095918
71	0.2385466348
72	0.2362522155
73	0.2341306891
74	0.2315250109
75	0.2299738712
76	0.2278911799
77	0.2261090785
78	0.2240256418
79	0.2218013116
80	0.2196186083
81	0.2178679946
82	0.2156669903
83	0.2140679574
84	0.2124546223
85	0.2104580261
86	0.2087484345
87	0.2073556263
88	0.2057348736
89	0.2042465086
90	0.2026903379
91	0.2012201571
92	0.1997896393
93	0.1982689315
94	0.1965123199
95	0.1946984319
96	0.193362167
97	0.1919688308
98	0.190683167
99	0.1895737949
100	0.1882162448
101	0.1866369822
102	0.1853942357
103	0.1844426242
104	0.1831988794
105	0.1822196315
106	0.180933495
107	0.1796331048
108	0.178750989
109	0.1778200804
110	0.1766986723
111	0.1755557816
112	0.1741354819
113	0.1731354248
114	0.172372152
115	0.1714299228
116	0.1702357893
117	0.1691707694
118	0.1681909448
119	0.1669845392
120	0.1658330245
121	0.1646845754
122	0.1637345251
123	0.1630253679
124	0.1620437309
125	0.1613859675
126	0.1603175024
127	0.1596541803
128	0.1588569664
129	0.1579752465
130	0.157036146
131	0.1562280756
132	0.1552263286
133	0.1544718269
134	0.1536874972
135	0.1528001376
136	0.1521530708
137	0.1513264008
138	0.1503432758
139	0.149257089
140	0.1484882274
141	0.147959942
142	0.1473472658
143	0.1465306099
144	0.1460883895
145	0.1452861006
146	0.1441950758
147	0.1433685498
148	0.1426148386
149	0.141934279
150	0.1415452249
151	0.1407569164
152	0.139809594
153	0.1391264689
154	0.1381200636
155	0.1374694933
156	0.1367973449
157	0.1361787562
158	0.1355740768
159	0.134800458
160	0.1341631296
161	0.1333983531
162	0.1327338863
163	0.1321853023
164	0.1318315202
165	0.1313462814
166	0.1308236886
167	0.1303562604
168	0.1298303232
169	0.1291117629
170	0.1285650776
171	0.1282094432
172	0.1276627985
173	0.1270446234
174	0.126607723
175	0.1262243093
176	0.1256721987
177	0.1253013181
178	0.1247994431
179	0.1243962496
180	0.1238456663
181	0.1234193595
182	0.1231405337
183	0.1223759309
184	0.1218324433
185	0.1211620536
186	0.1207508236
187	0.1201458431
188	0.1194214644
189	0.1189719794
190	0.1184993882
191	0.1180626496
192	0.1175779604
193	0.1171299407
194	0.1167729462
195	0.1163224252
196	0.1158437923
197	0.1154472437
198	0.1149292349
199	0.1145332188
