iter	Passed	Remaining
416	2996	4189
417	3002	4180
418	3009	4173
419	3017	4166
420	3025	4160
421	3033	4154
422	3040	4147
423	3048	4141
424	3056	4135
425	3066	4131
426	3078	4130
427	3086	4125
428	3094	4118
429	3101	4111
430	3110	4106
431	3118	4100
432	3127	4094
433	3134	4087
434	3142	4081
435	3150	4075
436	3158	4068
437	3165	4062
438	3173	4055
439	3182	4049
440	3190	4043
441	3198	4037
442	3206	4031
443	3213	4024
444	3222	4018
445	3230	4012
446	3238	4006
447	3246	3999
448	3253	3992
449	3261	3986
450	3269	3979
451	3276	3972
452	3284	3966
453	3292	3959
454	3300	3952
455	3307	3945
456	3314	3938
457	3321	3930
458	3327	3922
459	3334	3914
460	3341	3906
461	3348	3898
462	3357	3893
463	3371	3895
464	3380	3889
465	3388	3882
466	3396	3876
467	3405	3870
468	3412	3863
469	3419	3856
470	3427	3849
471	3434	3841
472	3441	3834
473	3449	3827
474	3456	3820
475	3463	3812
476	3470	3805
477	3477	3798
478	3484	3790
479	3491	3782
480	3498	3774
481	3505	3767
482	3514	3762
483	3524	3757
484	3531	3750
485	3539	3743
486	3546	3736
487	3554	3729
488	3561	3721
489	3568	3714
490	3576	3707
491	3583	3699
492	3590	3692
493	3598	3685
494	3605	3678
495	3612	3670
496	3620	3664
497	3627	3656
498	3634	3648
499	3641	3641
500	3648	3634
501	3658	3629
502	3666	3623
503	3674	3616
504	3681	3609
505	3688	3601
506	3695	3593
507	3702	3586
508	3709	3578
509	3717	3571
510	3724	3564
511	3731	3556
512	3739	3549
513	3747	3542
514	3754	3535
515	3761	3528
516	3769	3521
517	3776	3514
518	3783	3506
519	3792	3500
520	3800	3494
521	3807	3486
522	3814	3479
523	3821	3471
524	3828	3464
525	3836	3456
526	3844	3450
527	3851	3443
528	3859	3436
529	3866	3428
530	3874	3422
531	3881	3414
532	3889	3407
533	3896	3400
534	3903	3392
535	3910	3385
536	3917	3377
537	3924	3370
538	3932	3362
539	3939	3355
540	3948	3349
541	3956	3343
542	3964	3336
543	3970	3328
544	3979	3321
545	3986	3315
546	3994	3307
547	4001	3300
548	4010	3294
549	4017	3287
550	4025	3279
551	4033	3273
552	4041	3266
553	4048	3259
554	4055	3251
555	4063	3244
556	4069	3236
557	4076	3228
558	4083	3221
559	4092	3215
560	4101	3209
561	4107	3201
562	4114	3193
563	4121	3186
564	4129	3179
565	4136	3171
566	4143	3164
567	4151	3157
568	4159	3150
569	4165	3142
570	4172	3135
571	4180	3127
572	4188	3121
573	4196	3114
574	4203	3106
575	4210	3099
576	4217	3091
577	4225	3084
578	4232	3077
579	4240	3070
580	4248	3063
581	4254	3055
582	4262	3048
583	4268	3040
584	4275	3032
585	4282	3025
586	4288	3017
587	4296	3010
588	4303	3002
589	4309	2994
590	4316	2987
591	4323	2979
592	4330	2972
593	4338	2965
594	4345	2957
595	4351	2949
596	4358	2942
597	4365	2934
598	4372	2926
599	4379	2919
600	4387	2913
601	4396	2906
602	4405	2900
603	4412	2893
604	4420	2886
605	4429	2879
606	4436	2872
607	4443	2865
608	4450	2857
609	4457	2849
610	4464	2842
611	4470	2834
612	4477	2826
613	4484	2819
614	4491	2811
615	4499	2804
616	4507	2798
617	4514	2790
618	4522	2783
619	4530	2776
620	4537	2769
621	4544	2761
622	4551	2754
623	4558	2746
624	4565	2739
625	4572	2731
626	4579	2724
627	4586	2716
628	4593	2709
629	4601	2702
630	4608	2694
631	4615	2687
632	4623	2680
633	4632	2674
634	4639	2667
635	4647	2659
636	4655	2653
637	4663	2646
638	4674	2640
639	4681	2633
640	4688	2625
641	4695	2618
642	4702	2610
643	4709	2603
644	4716	2595
645	4724	2588
646	4731	2581
647	4738	2574
648	4745	2566
649	4752	2558
650	4758	2551
651	4765	2543
652	4772	2536
653	4779	2528
654	4788	2521
655	4796	2515
656	4803	2507
657	4811	2500
658	4819	2493
659	4829	2487
660	4837	2481
661	4845	2473
662	4852	2466
663	4861	2460
664	4869	2453
665	4877	2445
666	4885	2439
667	4892	2431
668	4900	2424
669	4907	2417
670	4915	2410
671	4923	2403
672	4931	2396
673	4939	2389
674	4948	2382
675	4955	2375
676	4964	2368
677	4973	2362
678	4980	2354
679	4987	2346
680	4994	2339
681	5000	2331
682	5008	2324
683	5015	2317
684	5021	2309
685	5030	2302
686	5037	2295
687	5044	2287
688	5051	2279
689	5057	2272
690	5064	2264
691	5072	2257
692	5078	2249
693	5085	2242
694	5092	2234
695	5098	2227
696	5105	2219
697	5113	2212
698	5120	2204
699	5128	2198
700	5136	2190
701	5144	2183
702	5153	2177
703	5162	2170
704	5170	2163
705	5178	2156
706	5185	2149
707	5193	2142
708	5200	2134
709	5208	2127
710	5216	2120
711	5224	2113
712	5232	2106
713	5240	2099
714	5247	2091
715	5254	2084
716	5262	2077
717	5270	2069
718	5278	2062
719	5285	2055
720	5292	2048
721	5301	2041
722	5309	2034
723	5317	2027
724	5326	2020
725	5333	2012
726	5340	2005
727	5348	1998
728	5355	1990
729	5362	1983
730	5369	1976
731	5376	1968
732	5383	1960
733	5390	1953
734	5397	1945
735	5403	1938
736	5410	1930
737	5418	1923
738	5425	1916
739	5433	1908
740	5440	1901
741	5447	1894
742	5455	1887
743	5465	1880
744	5473	1873
745	5479	1865
746	5486	1858
747	5493	1850
748	5500	1843
749	5507	1835
750	5514	1828
751	5522	1821
752	5529	1813
753	5536	1806
754	5543	1798
755	5550	1791
756	5556	1783
757	5563	1776
758	5570	1768
759	5577	1761
760	5584	1753
761	5590	1746
762	5597	1738
763	5605	1731
764	5613	1724
765	5621	1717
766	5628	1709
767	5635	1702
768	5641	1694
769	5649	1687
770	5655	1679
771	5662	1672
772	5669	1665
773	5676	1657
774	5684	1650
775	5690	1642
776	5697	1635
777	5705	1628
778	5712	1620
779	5718	1613
780	5727	1605
781	5734	1598
782	5742	1591
783	5750	1584
784	5758	1577
785	5766	1570
786	5774	1562
787	5781	1555
788	5788	1547
789	5795	1540
790	5804	1533
791	5811	1526
792	5818	1518
793	5825	1511
794	5832	1503
795	5838	1496
796	5845	1488
797	5852	1481
798	5859	1474
799	5867	1466
800	5874	1459
801	5881	1452
802	5888	1444
803	5895	1437
804	5903	1430
805	5912	1423
806	5919	1415
807	5926	1408
808	5933	1400
809	5940	1393
810	5948	1386
811	5956	1379
812	5964	1371
813	5971	1364
814	5979	1357
815	5987	1350
816	5994	1342
817	6001	1335
818	6008	1327
819	6015	1320
820	6022	1313
821	6029	1305
822	6036	1298
823	6043	1290
824	6051	1283
825	6058	1276
826	6065	1268
827	6072	1261
828	6079	1254
829	6086	1246
830	6094	1239
831	6102	1232
832	6112	1225
833	6120	1218
834	6128	1211
835	6135	1203
836	6142	1196
837	6149	1188
838	6156	1181
839	6164	1174
840	6171	1166
841	6178	1159
842	6186	1152
843	6195	1145
844	6202	1137
845	6210	1130
846	6217	1123
847	6224	1115
848	6232	1108
849	6240	1101
850	6248	1094
851	6257	1086
852	6265	1079
853	6273	1072
854	6281	1065
855	6288	1057
856	6297	1050
857	6305	1043
858	6313	1036
859	6319	1028
860	6327	1021
861	6334	1014
862	6341	1006
863	6347	999
864	6355	991
865	6362	984
866	6368	977
867	6375	969
868	6383	962
869	6390	954
870	6396	947
871	6404	940
872	6414	933
873	6422	925
874	6429	918
875	6437	911
876	6445	904
877	6453	896
878	6460	889
879	6468	882
880	6476	874
881	6483	867
882	6492	860
883	6500	853
884	6508	845
885	6515	838
886	6522	830
887	6530	823
888	6538	816
889	6545	809
890	6552	801
891	6561	794
892	6568	787
893	6575	779
894	6582	772
895	6589	764
896	6596	757
897	6603	750
898	6611	742
899	6619	735
900	6625	728
901	6633	720
902	6640	713
903	6646	705
904	6654	698
905	6662	691
906	6668	683
907	6675	676
908	6683	669
909	6690	661
910	6698	654
911	6707	647
912	6715	639
913	6721	632
914	6729	625
915	6736	617
916	6744	610
917	6751	603
918	6759	595
919	6767	588
920	6774	581
921	6782	573
922	6789	566
923	6797	559
924	6806	551
925	6814	544
926	6822	537
927	6830	529
928	6838	522
929	6845	515
930	6855	508
931	6863	500
932	6870	493
933	6878	486
934	6884	478
935	6891	471
936	6898	463
937	6905	456
938	6913	449
939	6921	441
940	6928	434
941	6936	427
942	6943	419
943	6950	412
944	6957	404
945	6964	397
946	6970	390
947	6977	382
948	6984	375
949	6991	367
950	6999	360
951	7008	353
952	7017	346
953	7025	338
954	7032	331
955	7038	323
956	7045	316
957	7053	309
958	7061	301
959	7070	294
960	7078	287
961	7086	279
962	7093	272
963	7104	265
964	7113	257
965	7122	250
966	7132	243
967	7141	236
968	7149	228
969	7159	221
970	7170	214
971	7178	206
972	7186	199
973	7194	192
974	7202	184
975	7211	177
976	7219	169
977	7227	162
978	7237	155
979	7245	147
980	7253	140
981	7261	133
982	7269	125
983	7277	118
984	7287	110
985	7295	103
986	7303	96
987	7311	88
988	7321	81
989	7331	74
990	7340	66
991	7348	59
992	7356	51
993	7364	44
994	7372	37
995	7380	29
996	7387	22
997	7395	14
998	7403	7
999	7410	0
